GeneSymbol	avg_expr	ttest_p-val
ARPC1B	0.98065851063829768	3.9527928304116502E-32
S100A11	0.86390531914893642	8.7196562036096196E-32
CTSC	0.94291808510638309	2.5654174161789201E-30
GLIPR1	0.87449680851063794	1.1399810830337301E-26
NNMT	0.75105319148936134	5.1489168741089198E-26
VDR	0.94755851063829788	2.3252288710503899E-25
RGS2	0.82422553191489378	2.1025250080107298E-24
CTSB	0.82997872340425538	2.1852084419486202E-24
TGFBI	0.79485851063829815	7.0380637436656897E-24
PLAUR	0.89013936170212782	8.7787183056917697E-24
LY96	0.81240106382978694	1.22497484777097E-23
BCL3	0.77218617021276548	8.3233262711576704E-22
TNFAIP8	0.80747127659574436	6.9571092631858499E-21
IER3	0.77415744680851062	2.7654987094799599E-20
PRSS23	0.70879893617021295	5.5119684602171001E-20
IL7R	0.87160425531914854	9.32791995561146E-20
RAB27A	0.88015851063829842	1.2928560664059599E-19
RUNX1	0.7978404255319147	1.7586723053705799E-19
P4HA2	0.76354361702127693	2.0745375554954901E-19
CYP1B1	0.82336595744680818	4.0885142457169997E-18
BACE2	0.68639361702127633	4.5087153609137597E-18
ACPP	0.78945744680851071	4.6750234328179401E-17
FTL	0.47002021276595751	1.5699122473511499E-16
SLPI	0.65264148936170208	3.1586403807183199E-16
RAC2	0.80862127659574468	4.0651925117353402E-16
RARRES1	0.85686595744680838	6.0638050581885301E-16
SYNGR2	0.65158297872340432	7.7358745888967599E-16
THBS1	0.69118297872340406	8.2615792953481698E-16
IL6	0.80787446808510643	1.05501695662712E-15
CAV1	0.63591808510638315	1.3036321153064901E-15
PI3	0.80371595744680857	2.8473352337752701E-15
CDCP1	0.7006904255319153	4.8298968944248601E-15
ITGB1	0.67668617021276589	4.9958693431430599E-15
LOX	0.70552234042553186	5.2836044178579698E-15
CD72	0.75258829787234027	6.7893938907752299E-15
COL1A2	0.68960106382978725	1.96045343403902E-14
ANPEP	0.74797765957446827	4.9005213802694598E-14
MMP7	0.68206702127659602	4.90639380919631E-14
SPAG4	0.55002872340425524	5.2309601499453603E-14
BNC2	0.6559319148936168	1.09870484155186E-13
NDRG1	0.5622436170212769	1.2705507316327501E-13
CNN2	0.72541595744680842	2.3302439709120001E-13
LUM	0.68089468085106397	2.4227389191725298E-13
PTGS2	0.67683617021276576	5.9719765407355804E-13
COL3A1	0.63114255319148937	9.593186990979701E-13
COL5A1	0.67182021276595749	1.27354557420617E-12
SDC1	0.77084680851063869	1.4966516976976501E-12
COL1A1	0.64581170212765959	3.7907043110091997E-12
GPRC5A	0.59160638297872348	4.0790758689106898E-12
COL15A1	0.60151808510638283	4.7156252271766804E-12
