GeneSymbol	avg_expr	ttest_p-val
HN1	1.0497614285714287	7.2059392437775497E-28
RAB33A	1.1737371428571433	4.4344356921717003E-24
HDAC2	1.0403500000000001	2.7303498503778899E-22
MYT1	1.1963057142857147	6.4642748677135703E-22
MTSS1	1.1110871428571432	7.0230901706545693E-21
HOXD3	1.1465485714285713	8.4413432001164704E-21
GPR17	1.0918514285714287	2.75009815434878E-18
PTTG1	0.89216285714285704	3.4838086063322597E-18
KLRC3	1.1810057142857149	4.0465996578721899E-18
HRASLS	1.0670500000000003	5.5416248828972702E-18
TCP1	0.87605	8.3703139654515102E-18
NPPA	1.0164314285714287	2.6973926377530301E-17
PFDN2	0.77632714285714299	8.1061964658590105E-17
CA10	1.1357228571428573	1.6603362045601199E-16
EPHB1	0.9775771428571427	1.82103516968883E-16
UGT8	0.95686857142857151	2.66721309753414E-16
PAK7	1.2320385714285713	3.4576042948218001E-16
SLC1A1	1.1321942857142857	2.4974558196768302E-14
NARF	0.74692428571428604	3.2095095378224501E-14
DCTN3	0.77052571428571426	3.7086359671214603E-14
SMPD3	1.1362885714285713	4.3059093367240703E-14
ZNF804A	1.073761428571429	5.39045652962462E-14
RASL11B	1.0318814285714284	6.2831563761210004E-14
MYB	0.81837285714285724	6.9559718119342004E-14
PDGFRA	0.92613571428571417	1.2729212858495001E-13
ERBB3	0.89791999999999994	1.33883570099676E-13
CLGN	0.76794142857142866	4.0698694973535201E-13
SOX10	0.98321142857142874	5.7550392741731898E-13
BCL11A	0.84464142857142877	7.3983516722280996E-13
NMU	0.92333428571428566	7.7255682825725204E-13
ZNF643	0.98742857142857132	4.4533505037093599E-12
CDKN1C	0.88227428571428557	1.13993681892994E-11
JPH3	0.7364371428571429	1.44792432648736E-11
PCDHA9	0.87824714285714256	3.3072585254534597E-11
IL1RAPL1	0.76177714285714304	4.00593536344705E-11
MAST1	0.79220999999999986	1.01533791459258E-10
VIPR2	0.76647714285714286	1.2538210693706799E-10
SIM2	0.88219571428571464	2.3830128403853202E-10
BAMBI	0.71048857142857158	6.5601876981051802E-10
PKMYT1	0.78729142857142842	7.5743406845562503E-10
PLCB4	0.8068342857142855	8.1733177877277197E-10
SLC17A6	0.92825571428571441	4.1740005434652103E-9
KLRK1	0.89924857142857151	7.8131799805801299E-9
CENPJ	0.91620285714285721	2.7274204753285801E-8
NHLH1	0.86340714285714315	6.7418655812440806E-8
GABRB3	0.72659142857142867	9.4887499363488498E-8
KLRC4	0.90147857142857113	1.8506322763585E-7
KCNK3	0.75514857142857161	9.7650542291993608E-7
GRID2	0.78947285714285709	1.2391017775393001E-6
DACH1	0.66664999999999996	4.8608783675859303E-6
