Tissue	Cell type	Marker genes
Adipose tissue	Adipose-derived stem cell	"CD34,CD44,CD9,ENG,ITGB1,KLF4,MCAM,NANOG,NGFR,NT5E,PECAM1,POU5F1,PTPRC,SOX2,THY1,VCAM1"
Adipose tissue	Adipose-derived stromal cell	"CD34,CD44,ENG,ITGB1,NT5E,PECAM1,THY1"
Adipose tissue	Endothelial cell	"CD34,ENG,PECAM1,VWF"
Adipose tissue	Mesenchymal stem cell	"CD34,CD44,ENG,ITGB1,NANOG,NT5E,PECAM1,PODXL,POU5F1,PTPRC,THY1"
Adipose tissue	Pericytes	"CSPG4,MCAM"
Adipose tissue	Stromal cell	"CD34,CD44,ENG,ITGB1,NT5E,PECAM1,PTPRC,THY1"
Blood vessel	Endothelial cell	"CD34,CDH5,ENG,FLT1,FLT4,ICAM1,ICAM2,ITGA4,KDR,LYVE1,MCAM,PDPN,PECAM1,SELE,SELP,TEK,THBD,VCAM1,VEGFA"
Blood vessel	Endothelial cells	"ABCG2,ACKR1,ACVRL1,ADAMTS1,ADGRF5,ADGRL4,ADORA2A,APLN,APLNR,APOLD1,AQP1,AQP7,ARAP3,ARHGEF15,BDP1,BIRC2,BMP2,BMX,BTNL9,C1QTNF1,C7,CALCRL,CARD10,CASZ1,CAV1,CCL19,CCN2,CD300LG,CD34,CD36,CD46,CD55,CD82,CD9,CD93,CDH5,CDKN1C,CHST1,CLDN5,CLEC14A,CLEC1B,CLEC4G,CLIC4,CRHBP,CXCL1,CYP1B1,DLL4,DNASE1L3,DPP4,ECE1,ECSCR,EDNRB,EGFL7,EHD3,ELK3,EMCN,EMP1,ENG,EPAS1,ERG,ESM1,ETS1,F8,FABP4,FAM167B,FCN3,FHL2,FLI1,FLT1,FLT4,FOXF1,FOXF2,GIMAP5,GJA4,GJA5,GLYCAM1,GNG11,GPIHBP1,GPM6A,GPR182,HEXIM1,HEY1,HSPG2,HYAL2,ICAM1,ICAM2,ID1,ID3,IFI27,IGFBP7,IL1A,INMT,IRX3,ITGB3,KCNJ8,KDR,KLK1,LIFR,LOX,LTC4S,LYVE1,MADCAM1,MCAM,MEOX1,MEOX2,MFSD2A,MGLL,MGP,MMRN1,MMRN2,MYLK,NOS3,NOSTRIN,NOTCH4,NPR1,NRP2,PALMD,PCAT19,PCDH12,PDGFB,PDPN,PECAM1,PLAC8,PLEC,PLVAP,PODXL,POSTN,PRKCH,PROCR,PROX1,PTGDS,PTPRB,RAMP3,RASGRP3,RASIP1,RBP7,RGCC,RGS5,RNASE1,RND1,ROBO4,RPRM,S100A10,S100A13,SCARF1,SELE,SEMA3D,SEMA7A,SGK1,SLC2A1,SLC38A5,SLC7A5,SLC9A3R2,SLCO1C1,SOX18,SOX7,SPARC,SPARCL1,SPNS2,SRGN,SRPX,STAB1,STAB2,TBX1,TCF15,TEK,TGFBR2,THBD,THSD1,TIE1,TIMP3,TM4SF1,TMEM100,TSPAN8,USHBP1,VCAM1,VEGFC,VWA1,VWF,WFDC1,XDH"
Blood vessel	Endothelial cells (aorta)	"ACE,ACKR3,ADH7,AMIGO2,APH1B,ARHGEF15,ARL4D,ATL2,ATP2A3,BACE2,BMP4,BMP6,BMX,CALCRL,CHST12,CLEC1A,CMKLR1,COL4A3,COL4A4,CPQ,CRACR2B,CYP1B1,CYTL1,DENND5B,DHH,EFNB2,EHD3,EMILIN1,ENPP4,EPHX2,FAS,FGD5,FKBP7,FOXC2,FZD4,GASK1B,GIMAP4,GJA5,GRASP,GXYLT2,HEY2,HFE,HYAL2,ITGA5,ITGA9,ITGB4,ITGBL1,KAZALD1,KLK10,KLK8,LAMB2,LMCD1,LOX,MALL,MARVELD1,MICAL2,NKX2-3,NOS3,NPR1,NR1D1,NTN1,NXN,P3H3,PCOLCE2,PDE3A,PDIA5,PER3,PI16,PKN3,PROCR,PTGIS,PTPRJ,SHE,SMAD6,SMOC1,SOD3,SOX18,STAB1,STXBP6,SULF1,SULT1A1,SYNPO,THBD,TMEM184B,TMTC1,TMTC2,TNS2,TRIM47,WBP1L"
Blood vessel	Endothelial cells (blood brain barrier)	"ABCG2,FOXF2,FOXQ1,GFAP,GPR37L1,LEF1,PPARD,SLC13A4,SLC19A1,SLC23A2,SLC38A3,TNFRSF19,TNFRSF21,ZIC3"
